"scan_id","Date","prec.mm"
"2100",2021-02-20,NA
"2096",2021-02-20,0
"2103",2021-02-20,NA
"2097",2021-02-20,0
"2102",2021-02-20,0
"2098",2021-02-20,6.858
"2101",2021-02-20,3.302
"2099",2021-02-20,0.254
"2100",2021-02-21,NA
"2096",2021-02-21,0
"2103",2021-02-21,NA
"2097",2021-02-21,0
"2102",2021-02-21,1.27
"2098",2021-02-21,10.16
"2101",2021-02-21,1.524
"2099",2021-02-21,2.54
"2100",2021-02-22,NA
"2096",2021-02-22,7.112
"2103",2021-02-22,NA
"2097",2021-02-22,0
"2102",2021-02-22,0
"2098",2021-02-22,5.588
"2101",2021-02-22,0.254
"2099",2021-02-22,0
